Date Of Death Year,Date Of Death Month,HHSRegion,AgeGroup,AllCause,NaturalCause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",AnalysisDate,Note,flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
2020,4,2,85 years and over,"20,560","20,425",114,844,314,676,451,457,214,175,245,"5,029",470,"9,158","8,488",08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,,,,,,,,,
2020,4,3,0-4 years,183,160,0,,0,0,,0,0,,20,0,,0,0,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
2020,4,3,15-24 years,227,52,,,,0,,,0,0,,15,0,,,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
2020,10,8,85 years and over,"2,957","2,832",23,272,59,251,30,119,31,41,21,633,172,518,464,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,,,,,,,,,
2020,4,3,25-34 years,632,222,,32,13,0,,,,,10,38,,38,34,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
2020,4,3,35-44 years,878,470,10,89,24,0,,,,,16,103,18,59,56,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
2020,4,3,45-54 years,"1,595","1,269",28,271,63,0,23,26,13,15,17,264,47,230,221,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,,,,,,,,,
2020,4,3,5-14 years,37,22,0,,0,0,,,,0,0,,0,0,0,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,
2020,4,3,55-64 years,"3,895","3,530",61,923,167,14,70,158,43,49,25,695,106,621,595,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,,,,,,,,,
2020,4,3,65-74 years,"6,213","6,026",79,"1,521",244,68,118,283,95,122,39,"1,130",215,"1,175","1,125",08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,,,,,,,,,
2020,4,3,75-84 years,"7,992","7,790",109,"1,421",255,264,155,410,93,162,63,"1,465",340,"1,622","1,547",08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,,,,,,,,,
2020,4,3,85 years and over,"10,676","10,476",94,873,205,614,191,373,138,200,141,"2,310",643,"2,284","2,145",08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,,,,,,,,,
2020,4,4,0-4 years,432,364,,,0,0,,,,0,48,,,0,0,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
2020,4,4,15-24 years,677,140,,26,,0,,,,,13,22,,,,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
2020,4,4,25-34 years,"1,399",447,11,62,25,0,11,,,10,28,78,16,25,25,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,
2020,4,4,35-44 years,"2,064","1,186",30,204,58,0,33,18,18,10,24,287,66,74,70,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,,,,,,,,,
2020,4,4,45-54 years,"3,647","2,900",87,667,163,0,52,100,42,53,36,702,115,210,197,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,,,,,,,,,
2020,4,4,5-14 years,117,50,0,12,,0,0,,0,0,,,,0,0,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
2020,4,4,55-64 years,"8,206","7,467",148,"2,109",349,29,132,440,116,131,53,"1,683",283,529,498,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,,,,,,,,,
2020,4,4,65-74 years,"12,338","11,884",216,"3,283",536,194,208,813,219,230,114,"2,473",557,976,926,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,,,,,,,,,
2020,4,4,75-84 years,"15,030","14,594",210,"2,914",494,827,298,"1,092",254,285,141,"3,142",912,"1,211","1,140",08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,,,,,,,,,
2020,4,4,85 years and over,"16,109","15,652",173,"1,570",310,"1,562",301,762,215,246,272,"3,988","1,323","1,124","1,029",08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,,,,,,,,,
2020,4,5,0-4 years,316,277,,,0,0,0,0,,0,22,,0,0,0,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,
2020,4,5,15-24 years,427,96,,,,0,,,,,,13,,14,13,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
2020,4,5,25-34 years,"1,029",332,,41,18,0,,,,,10,43,10,61,59,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
2020,4,5,35-44 years,"1,411",824,18,118,48,0,12,14,,12,16,186,26,133,121,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,,,Suppressed (counts 1-9),,,,,,
2020,4,5,45-54 years,"2,637","2,183",29,505,104,,24,58,23,31,15,474,70,400,382,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,Suppressed (counts 1-9),,,,,,,,,
2020,4,5,5-14 years,66,42,,11,,0,,,0,0,0,,,,,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
2020,4,5,55-64 years,"6,550","6,095",81,"1,609",279,22,113,318,75,89,42,"1,260",199,"1,033",983,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,,,,,,,,,
2020,4,5,65-74 years,"10,467","10,167",144,"2,373",416,126,177,679,155,178,48,"1,916",381,"2,018","1,934",08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,,,,,,,,,
2020,4,5,75-84 years,"12,829","12,561",157,"2,231",366,624,231,794,198,221,75,"2,365",587,"2,510","2,395",08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,,,,,,,,,
2020,4,5,85 years and over,"17,090","16,684",148,"1,437",321,"1,481",350,622,187,272,198,"4,082","1,101","2,820","2,645",08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,,,,,,,,,
2020,4,6,0-4 years,296,241,,,0,0,,0,,,24,,,,,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
2020,4,6,15-24 years,405,102,,15,,0,,,,0,,12,,,,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
2020,4,6,25-34 years,790,273,,40,13,0,,,,,,45,,32,29,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
2020,4,6,35-44 years,"1,159",748,16,109,42,,16,,11,18,14,165,28,86,81,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,,
2020,4,6,45-54 years,"2,075","1,709",31,399,104,0,33,44,19,37,16,383,67,152,147,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,,,,,,,,,
2020,4,6,5-14 years,69,36,0,11,0,0,,,,,0,,,0,0,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,
2020,4,6,55-64 years,"4,653","4,302",72,"1,193",218,,72,215,60,94,28,"1,025",173,403,372,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,Suppressed (counts 1-9),,,,,,,,,
2020,4,6,65-74 years,"6,740","6,528",106,"1,717",311,129,112,398,104,157,34,"1,437",311,665,621,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,,,,,,,,,
2020,4,6,75-84 years,"7,765","7,574",111,"1,405",265,439,154,551,120,165,30,"1,659",418,839,798,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,,,,,,,,,
2020,4,6,85 years and over,"8,274","8,114",93,765,157,937,153,407,112,127,44,"2,156",515,808,755,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,,,,,,,,,
2020,4,7,0-4 years,102,88,0,0,0,0,0,0,,0,20,,,0,0,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
2020,4,7,15-24 years,135,20,0,,0,0,0,0,0,0,,,0,,,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9)
2020,4,7,25-34 years,239,71,,17,,0,,,,,,,,,,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
2020,4,7,35-44 years,349,168,,35,,0,,,,,,36,,,,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
2020,4,7,45-54 years,635,540,,127,32,0,,,11,11,,140,22,38,38,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,
2020,4,7,5-14 years,22,12,0,,,0,0,0,0,0,0,,0,0,0,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,
2020,4,7,55-64 years,"1,640","1,517",28,442,70,,20,83,22,22,11,362,46,111,108,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,Suppressed (counts 1-9),,,,,,,,,
2020,4,7,65-74 years,"2,460","2,371",32,712,94,40,41,147,50,41,27,488,117,179,170,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,,,,,,,,,
2020,4,7,75-84 years,"2,956","2,859",37,612,100,143,51,244,56,66,19,619,144,209,200,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,,,,,,,,,
2020,4,7,85 years and over,"3,923","3,824",40,391,77,325,84,177,61,79,58,"1,017",232,284,271,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,,,,,,,,,
2020,4,8,0-4 years,80,68,0,,0,0,,0,0,,,,,0,0,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
2020,4,8,15-24 years,120,18,0,,0,0,,,0,0,,0,,,,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
2020,4,8,25-34 years,219,77,0,12,,0,,,0,0,,12,0,,,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
2021,3,3,65-74 years,"5,557","5,327",95,"1,486",212,62,54,261,80,115,73,"1,069",233,604,525,08/25/2021,,,,,,,,,,,,,,,,
2020,4,8,35-44 years,316,183,,32,,0,,,0,,,34,,12,12,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
2020,4,8,45-54 years,470,369,,75,26,0,,,,,,78,11,38,34,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
2020,4,8,5-14 years,17,,0,,,0,0,,0,0,0,0,0,0,0,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,,,
2020,4,8,55-64 years,"1,066",934,12,256,42,,10,61,15,11,,168,29,89,85,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),,,,
2020,4,8,65-74 years,"1,603","1,528",18,411,69,30,16,103,17,12,10,270,55,209,198,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,,,,,,,,,
2020,4,8,75-84 years,"2,089","2,009",23,406,69,119,36,150,23,39,11,373,92,259,243,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,,,,,,,,,
2020,4,8,85 years and over,"2,858","2,755",17,301,43,300,45,153,47,45,30,636,163,372,340,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,,,,,,,,,
2020,4,9,0-4 years,201,177,0,,0,0,,0,,,19,0,,0,0,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
2020,4,9,15-24 years,438,97,,22,,0,,,0,0,,,,,,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
2020,4,9,25-34 years,741,281,,46,11,0,,,,,17,38,,21,19,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
2020,4,9,35-44 years,"1,027",640,,132,29,,12,,,10,11,94,23,69,67,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,
2020,4,9,45-54 years,"2,000","1,623",22,409,98,,41,36,12,34,16,309,71,171,165,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,Suppressed (counts 1-9),,,,,,,,,
2020,4,9,5-14 years,46,28,0,15,,0,,,0,0,,,0,0,0,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,
2020,4,9,55-64 years,"4,374","3,933",31,"1,112",217,23,61,161,33,64,25,904,180,312,300,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,,,,,,,,,
2020,4,9,65-74 years,"6,730","6,477",48,"1,859",317,119,133,415,85,99,24,"1,405",291,519,502,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,,,,,,,,,
2020,4,9,75-84 years,"8,318","8,132",42,"1,725",318,548,196,510,105,134,31,"1,801",494,718,688,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,,,,,,,,,
2020,4,9,85 years and over,"10,983","10,789",47,"1,225",276,"1,354",246,531,118,145,53,"2,896",862,854,814,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,,,,,,,,,
2020,4,10,0-4 years,61,50,0,0,0,0,0,0,0,0,,0,0,0,0,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,,,,,Suppressed (counts 1-9),,,,
2020,4,10,15-24 years,127,33,0,,,0,,,0,0,,,0,,,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9)
2020,4,10,25-34 years,187,54,,11,,0,,,0,0,,,,,,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
2020,4,10,35-44 years,277,150,,38,,0,,,,0,0,27,,10,,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9)
2020,4,10,45-54 years,536,417,,123,28,0,,10,,,,74,15,29,28,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
2020,4,10,5-14 years,18,,0,,0,0,0,0,0,0,0,0,0,0,0,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,,,,,,
2020,4,10,55-64 years,"1,255","1,130",11,338,64,,24,53,16,,14,207,49,67,64,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,,
2020,4,10,65-74 years,"2,084","2,007",20,605,91,39,30,139,22,19,27,372,71,150,139,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,,,,,,,,,
2020,4,10,75-84 years,"2,462","2,387",24,558,72,159,34,160,35,21,21,445,133,194,183,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,,,,,,,,,
2020,4,10,85 years and over,"3,164","3,037",33,347,70,350,32,121,39,27,37,745,209,260,236,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,,,,,,,,,
2020,5,1,0-4 years,52,48,0,,0,0,0,0,0,0,,,0,0,0,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,
2020,5,1,15-24 years,86,17,0,,0,0,0,,0,,0,,0,,,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9)
2020,5,1,25-34 years,230,75,,,,0,0,,,0,,10,,,,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
2020,5,1,35-44 years,340,171,,18,,0,,,,,,33,,28,23,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
2020,5,1,45-54 years,709,542,,115,27,,,15,,,,103,,112,101,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
2020,5,1,5-14 years,,,0,,0,0,0,0,0,0,0,0,0,0,0,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,,,,,,
2020,5,1,55-64 years,"1,725","1,571",16,405,66,,10,59,24,23,,273,38,376,349,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),,,,
2020,5,1,65-74 years,"2,728","2,655",25,624,85,26,27,117,30,39,10,375,55,865,807,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,,,,,,,,,
2020,5,1,75-84 years,"3,916","3,818",40,619,85,105,44,163,59,52,22,493,131,"1,406","1,315",08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,,,,,,,,,
2020,5,1,85 years and over,"6,266","6,112",38,474,71,320,99,156,69,86,53,958,224,"2,482","2,319",08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,,,,,,,,,
2020,5,2,0-4 years,114,102,0,,0,0,0,0,,0,13,,0,,,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9)
2020,5,2,15-24 years,154,54,0,10,0,0,,0,,0,,,,14,11,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
2020,5,2,25-34 years,485,193,,21,12,0,,,,0,11,23,,57,51,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
2020,5,2,35-44 years,801,533,,68,27,0,11,,,0,12,93,13,166,146,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,
2020,5,2,45-54 years,"1,599","1,321",25,233,46,0,27,24,17,10,15,239,38,456,421,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,,,,,,,,,
2020,5,2,5-14 years,35,22,0,11,0,0,0,,0,0,0,,,,,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
2020,5,2,55-64 years,"3,544","3,293",39,663,98,,50,81,38,37,33,583,61,"1,243","1,152",08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,Suppressed (counts 1-9),,,,,,,,,
2020,5,2,65-74 years,"5,269","5,148",63,"1,034",156,29,85,171,66,53,38,903,117,"1,927","1,804",08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,,,,,,,,,
2020,5,2,75-84 years,"6,406","6,304",82,"1,000",135,123,114,212,110,88,59,"1,261",211,"2,192","1,985",08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,,,,,,,,,
2020,5,2,85 years and over,"9,051","8,924",66,671,164,371,178,210,117,129,128,"2,316",333,"2,856","2,486",08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,,,,,,,,,
2020,5,3,0-4 years,188,175,,,0,0,,0,,0,27,,,0,0,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
2020,5,3,15-24 years,275,62,0,11,,0,,,,0,,10,,,,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
2020,5,3,25-34 years,678,184,,29,10,0,,,,,,26,,24,22,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
